newid,age_ref,fam_size,no_earnr,region,totexppq,foodpq,hh_cu_q,fractearners,ratioover64,ratioless18,rationless2,urbn,northe,midw,west,raceb,racea,racena,racepi,racew,jfs_amt,r
2812745,29,3,0,2,3863.6667,476.6667,1,0.0,0.0,0.33333334,0.0,1,0,1,0,0,0,0,0,1,0,1.0720221e-05
2802255,18,1,1,1,1364.8333,173.3333,1,1.0,0.0,0.0,0.0,1,1,0,0,1,0,0,0,0,0,3.708317e-05
2670405,35,3,1,4,3791.9165,355.3333,1,0.33333334,0.0,0.6666667,0.0,1,0,0,1,0,0,0,0,1,0,0.00017537898
2673395,52,5,4,1,5786.6665,623.3333,1,0.8,0.0,0.2,0.0,1,1,0,0,0,0,0,0,1,0,0.00042038062
2707544,23,2,2,4,2189.1667,338.0,1,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,1200,0.00047351117
2707854,24,3,1,3,1108.8333,476.6667,1,0.33333334,0.0,0.6666667,0.33333334,1,0,0,0,1,0,0,0,0,0,0.000494011
2663405,39,4,2,2,11297.167,1219.3333,1,0.5,0.0,0.5,0.25,1,0,1,0,0,0,0,0,1,0,0.0005727394
2664465,33,2,2,2,13541.786,1723.3333,1,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.00068506994
2709784,58,5,2,3,2538.4666,715.0,1,0.4,0.0,0.2,0.2,1,0,0,0,1,0,0,0,0,0,0.0010803926
2769182,29,2,2,4,5324.5,650.0,1,1.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0.0011001113
2753594,38,1,1,4,9520.0,1240.0,2,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.0012712302
2761322,66,2,2,3,13835.934,1326.0,1,1.0,0.5,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.0013816182
2716073,43,6,1,3,11790.75,2695.0,1,0.16666667,0.0,0.6666667,0.0,1,0,0,0,0,0,0,0,1,0,0.0013920439
2685074,49,1,1,2,3564.0,585.0,1,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0,0,1,0,0.0014728508
2736523,69,1,0,3,2712.9,1119.3333,1,0.0,1.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0.0015460481
2676045,64,4,2,4,2938.95,705.0,1,0.5,0.0,0.5,0.0,1,0,0,1,0,0,0,0,1,0,0.0015566342
2753402,50,2,2,4,14641.3,468.0,1,1.0,0.0,0.0,0.0,1,0,0,1,0,1,0,0,0,0,0.0015897125
2662395,50,2,2,3,8028.5,1516.6667,1,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.001652699
2664175,52,2,2,3,9734.333,1906.6667,1,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0.0017561866
2684334,50,4,2,2,17788.85,3100.0,1,0.5,0.0,0.5,0.0,1,0,1,0,0,0,0,0,1,0,0.0017649636
2663175,49,3,1,4,4188.433,910.0,1,0.33333334,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.0018320149
2754222,45,2,2,4,27260.7,2976.0,1,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,1,0,0.0018587245
