hispanic,citizen,black,exp,wage,female,education
1,1,0,14.0,5.2884615,1,9
0,1,0,14.7,8.4615385,1,13
0,1,0,14.7,10.416667,1,13
0,1,0,14.0,21.634615,1,14
1,0,0,12.0,3.3653846,1,12
0,1,0,11.0,10.096154,1,16
0,1,0,13.0,33.846154,1,18
0,1,0,13.7,5.7692308,1,13
0,1,0,10.0,8.1730769,1,12
0,1,0,14.7,28.25,1,14
1,0,0,15.0,11.111111,1,10
0,1,0,13.0,15.52906,1,16
0,1,0,10.7,9.6153846,1,13
0,0,0,12.7,6.25,1,13
0,0,0,15.0,4.0,1,16
1,1,0,12.0,78.333333,1,12
0,1,0,13.47,8.2666667,1,11
1,0,0,10.0,10.833333,1,12
0,1,0,14.0,23.076923,1,10
1,1,0,12.7,11.538462,1,13
0,1,0,12.0,7.2115385,1,11
1,0,0,13.74,2.8846154,1,7
1,1,0,11.0,11.749038,1,12
1,0,0,15.0,3.2307692,1,11
1,0,0,11.0,10.576923,1,9
1,0,0,14.0,3.3,1,10
0,1,1,11.47,4.3645833,1,11
1,0,0,11.74,4.25,1,7
1,0,0,10.0,5.952381,1,11
1,0,0,12.0,3.9772727,1,12
1,0,0,11.0,3.125,1,9
1,1,0,13.0,5.7692308,1,12
1,0,0,13.74,3.6057692,1,7
1,0,0,10.74,6.75,1,7
1,0,0,10.0,5.2083333,1,12
1,1,0,15.0,3.8461538,1,12
1,0,0,11.47,14.423077,1,11
1,0,0,15.0,5.5384615,1,11
1,1,0,12.7,10.576923,1,13
0,1,0,10.0,9.0277778,1,12
0,0,1,13.7,21.5,1,13
0,1,0,14.0,10.384615,1,10
0,1,0,10.0,6.7307692,1,12
0,0,0,13.7,8.6538462,1,13
0,1,1,10.0,16.563147,1,16
1,0,0,11.0,4.0,1,12
1,0,0,11.0,4.296875,1,11
0,1,0,15.0,6.7708333,1,12
0,1,0,12.0,14.423077,1,20
0,0,0,10.0,10.0,1,16
0,0,0,15.0,6.0576923,1,16
0,1,0,13.0,6.0,1,16
0,1,0,11.0,11.783961,1,18
0,1,0,14.0,38.541667,1,11
0,1,1,10.0,19.964349,1,18
0,1,0,11.0,16.025641,1,20
1,1,0,14.0,7.1168269,1,12
0,1,0,12.0,12.403846,1,16
0,1,0,12.0,14.74359,1,16
0,1,0,11.0,10.48951,1,12
0,1,0,14.7,3.925,1,13
0,1,0,13.0,8.9067308,1,12
0,1,1,12.7,35.714286,1,13
0,1,0,12.0,10.576923,1,12
0,1,0,10.7,3.4868132,1,13
0,1,0,10.7,6.25,1,13
1,1,0,10.7,7.8071429,1,13
0,1,0,12.7,14.979327,1,13
0,1,0,10.7,14.182692,1,13
0,1,0,13.0,8.6538462,1,12
0,1,0,15.0,8.8729167,1,14
0,1,0,13.0,11.538462,1,16
0,1,0,12.7,4.3269231,1,13
0,1,0,12.0,18.269231,1,18
0,1,0,13.0,15.625,1,16
0,1,1,10.0,10.576923,1,12
0,1,0,13.0,23.958333,1,18
1,0,0,12.0,1.875,1,10
0,1,0,10.47,5.0,1,11
1,0,0,10.0,7.2115385,1,14
0,0,0,13.74,5.5,1,7
0,1,0,11.0,7.2115385,1,18
0,1,0,14.0,18.269231,1,16
0,1,0,13.0,6.0869565,1,18
0,1,0,12.7,10.666667,1,13
0,1,0,12.0,56.837607,1,16
0,0,0,15.0,7.6923077,1,16
1,1,0,12.7,17.350962,1,14
0,1,0,10.0,17.788462,1,16
0,1,0,14.7,15.0,1,13
1,0,0,11.0,6.25,1,12
1,0,0,10.7,11.057692,1,13
1,0,0,10.7,15.0,1,14
0,1,1,11.47,4.4871795,1,11
0,1,1,15.0,10.989011,1,12
0,1,1,14.7,6.0,1,13
0,1,1,12.0,6.25,1,12
0,1,0,13.0,9.0595238,1,12
0,1,0,11.0,20.192308,1,16
0,1,0,11.0,5.7692308,1,12
0,0,0,14.7,2.5,1,13
1,1,0,12.7,8.1730769,1,13
0,0,0,13.0,7.8043269,1,12
0,0,0,15.0,13.461538,1,16
0,0,0,12.7,4.8076923,1,14
0,1,0,14.0,6.25,1,12
0,1,0,14.0,3.9761905,1,16
0,1,0,15.0,10.576923,1,16
0,1,0,14.7,13.461538,1,13
0,1,0,13.7,6.875,1,13
1,0,0,11.7,20.0,1,13
0,1,0,15.0,11.111111,1,18
0,1,0,14.7,3.0,1,13
0,1,0,10.7,20.192308,1,13
0,1,0,12.7,14.903846,1,13
1,1,0,10.0,5.25625,1,12
0,1,0,10.7,10.416667,1,13
1,1,0,15.0,6.6666667,1,11
0,1,0,11.0,11.538462,1,16
0,1,0,14.0,11.627907,1,12
0,1,0,10.0,6.9711538,1,12
0,1,0,15.0,7.5855769,1,12
0,0,0,13.0,9.6153846,1,16
0,1,0,12.0,5.6818182,1,9
0,1,0,12.0,6.9444444,1,16
1,0,0,12.7,12.5,1,13
0,1,0,13.7,4.0,1,13
1,1,0,11.0,11.538462,1,12
1,0,0,13.9,8.3333333,1,3
0,1,0,12.0,45.0,1,10
1,1,0,10.7,17.148077,1,13
1,1,0,11.0,8.1730769,1,12
1,1,0,11.0,7.6923077,1,10
0,1,0,11.7,11.111111,1,14
1,1,0,14.7,12.019231,1,14
0,1,0,12.7,19.183673,1,13
0,1,0,14.7,7.6472222,1,14
0,1,0,15.0,9.6153846,1,16
1,1,0,14.7,5.0925926,1,13
1,1,0,11.7,13.779808,1,14
0,0,0,10.0,34.615385,1,18
1,1,0,13.0,6.7307692,1,12
