married,wage,exper,age,coll,games,minutes,guard,forward,center,points,rebounds,assists,draft,allstar,avgmin,black,children
1,1002.5,4,27,4,77,2867,1,0,0,16,4,5,19.0,0,37.23,1,0
1,2030.0,5,28,4,78,2789,1,0,0,13,3,9,28.0,0,35.76,1,1
0,650.0,1,25,4,74,1149,0,0,1,6,3,0,19.0,0,15.53,1,0
0,2030.0,5,28,4,47,1178,0,1,0,7,5,2,1.0,0,25.06,1,0
0,755.0,3,24,4,82,2096,1,0,0,11,4,3,24.0,0,25.56,1,0
0,2014.5,9,31,4,82,1971,0,1,0,11,5,2,4.0,0,24.04,1,0
1,1065.0,1,28,0,80,2303,0,1,0,15,7,1,40.0,0,28.79,0,0
0,420.0,3,27,3,67,1131,0,1,0,7,4,1,47.0,0,16.88,1,0
1,150.0,1,25,4,60,542,1,0,0,3,1,2,,0,9.03,1,0
1,3050.0,12,35,3,74,2700,0,1,0,26,7,2,3.0,1,36.49,1,1
1,1030.9,9,31,4,70,2337,1,0,0,12,3,7,66.0,0,33.39,1,1
0,182.0,2,25,4,74,983,1,0,0,3,1,2,35.0,0,13.28,0,0
1,900.0,7,29,4,77,2746,1,0,0,11,4,10,12.0,0,35.66,1,1
0,850.0,1,23,4,51,767,0,1,0,5,3,1,20.0,0,15.04,1,0
1,1004.0,8,30,4,82,2173,1,0,0,16,3,3,15.0,0,26.5,1,1
1,2040.0,6,28,4,82,2648,1,0,0,14,5,3,6.0,0,32.29,1,1
1,3125.0,3,25,4,51,1757,0,1,0,16,9,4,1.0,1,34.45,1,0
0,3120.0,2,24,4,60,2018,0,0,1,22,10,1,2.0,1,33.63,1,0
0,4000.0,18,41,4,74,1987,0,0,1,12,7,1,8.0,0,26.85,1,0
0,570.0,8,30,4,50,1005,1,0,0,6,3,2,44.0,0,20.1,1,0
0,620.0,6,27,4,82,2770,1,0,0,15,2,4,18.0,1,33.78,1,0
0,150.0,3,25,4,36,419,1,0,0,4,1,1,,0,11.64,1,0
1,4000.0,8,31,0,75,2856,1,0,0,20,6,5,8.0,0,38.08,1,1
0,150.0,8,30,4,34,682,0,1,0,5,4,1,28.0,0,20.06,0,0
1,1007.5,1,26,0,75,1808,0,1,0,11,4,3,29.0,0,24.11,0,1
1,1059.0,4,26,4,76,1502,0,0,1,7,6,1,7.0,0,19.76,0,1
1,1020.0,7,29,4,43,397,0,0,1,3,3,1,11.0,0,9.23,0,0
1,3007.5,8,29,4,72,2759,1,0,0,22,9,6,5.0,1,38.32,1,1
1,150.0,8,31,4,76,1371,0,0,1,7,5,1,16.0,0,18.04,0,1
1,1120.0,9,31,4,51,814,1,0,0,7,1,2,84.0,0,15.96,1,0
0,840.0,3,24,3,73,1548,1,0,0,8,2,4,11.0,0,21.21,1,0
0,1050.2,10,32,4,82,1708,0,1,0,5,5,1,14.0,0,20.83,1,0
1,3541.0,8,28,4,50,1838,0,0,1,17,10,3,1.0,0,36.76,1,1
0,3543.0,4,27,4,70,965,0,1,0,5,2,1,2.0,0,13.79,0,0
0,1075.0,4,26,4,57,1447,0,1,0,11,9,1,11.0,0,25.39,1,0
1,475.0,1,25,4,22,149,1,0,0,2,1,1,,0,6.77,1,0
0,850.0,1,24,4,79,2022,0,1,0,9,5,2,22.0,0,25.59,1,0
1,312.0,3,24,4,72,1531,1,0,0,8,3,2,45.0,0,21.26,1,1
1,2850.0,8,30,4,76,2386,1,0,0,17,3,8,25.0,1,31.39,0,1
1,2278.0,9,31,4,82,2768,1,0,0,14,4,3,47.0,0,33.76,1,1
1,4570.0,8,32,4,76,2660,0,1,0,14,8,3,45.0,0,35.0,1,0
0,1200.0,6,27,4,15,286,0,1,0,4,5,0,,0,19.07,1,0
0,350.0,2,24,4,77,1165,1,0,0,5,2,1,28.0,0,15.13,1,0
0,845.0,4,25,3,50,428,0,0,1,3,2,1,33.0,0,8.56,1,0
0,2000.0,3,24,3,82,3066,1,0,0,19,5,5,4.0,0,37.39,1,0
0,275.0,2,24,4,81,1773,0,1,0,6,8,1,41.0,0,21.89,1,0
0,2033.0,2,22,3,79,2896,0,1,0,19,5,3,4.0,1,36.66,1,0
0,488.0,3,24,4,47,1255,0,0,1,11,6,1,30.0,0,26.7,1,0
0,1065.0,4,25,4,79,1684,0,1,0,9,4,2,6.0,0,21.32,1,0
0,250.0,7,28,4,16,158,1,0,0,1,1,1,46.0,0,9.88,1,0
0,1082.5,3,25,2,80,2617,1,0,0,18,2,5,3.0,0,32.71,1,1
1,2161.0,2,24,4,79,2699,0,1,0,15,9,2,5.0,0,34.16,1,0
1,600.0,5,27,4,74,877,0,1,0,4,3,1,,0,11.85,1,0
0,150.0,1,23,4,38,285,1,0,0,2,1,0,34.0,0,7.5,1,0
0,3000.0,3,28,4,82,2853,0,0,1,12,12,2,4.0,0,34.79,1,0
1,1200.0,1,23,3,79,1406,0,1,0,8,3,1,9.0,0,17.8,1,0
0,1100.0,1,24,4,82,2853,1,0,0,13,4,2,13.0,0,34.79,1,0
0,1244.0,2,25,3,80,1507,0,1,0,8,6,1,10.0,0,18.84,1,1
1,1280.0,9,31,4,69,2591,1,0,0,20,2,4,18.0,0,37.55,1,1
0,735.0,1,23,4,79,1519,1,0,0,9,2,1,11.0,0,19.23,1,0
0,902.0,1,24,4,82,2172,1,0,0,10,2,5,10.0,0,26.49,1,0
0,300.0,5,28,4,71,1163,0,0,1,5,4,1,17.0,0,16.38,0,0
0,1498.0,3,24,4,42,496,1,0,0,4,1,1,8.0,0,11.81,1,0
1,672.0,2,24,4,69,1786,0,0,1,9,7,4,22.0,0,25.88,1,1
0,1617.0,4,27,4,80,2773,0,1,0,17,8,2,16.0,0,34.66,1,0
1,1000.0,11,34,4,82,1230,0,0,1,5,4,0,30.0,0,15.0,1,0
1,1160.0,4,24,4,69,1318,0,1,0,9,5,1,17.0,0,19.1,1,1
0,1120.0,4,27,4,82,1296,0,1,0,8,5,1,16.0,0,15.8,1,0
0,250.0,3,26,4,76,1097,1,0,0,6,1,3,,0,14.43,1,0
1,2844.0,10,31,4,62,2324,0,1,0,17,6,5,7.0,1,37.48,0,1
1,2414.0,4,25,3,79,2738,0,1,0,15,8,4,3.0,0,34.66,1,1
1,2100.0,13,35,4,51,1022,1,0,0,15,2,2,18.0,0,20.04,1,1
1,700.0,3,24,4,82,3533,1,0,0,21,5,5,24.0,1,43.09,1,0
0,1600.0,2,21,2,76,2438,0,1,0,18,9,4,1.0,1,32.08,1,0
1,525.0,7,29,4,73,1225,1,0,0,5,1,2,,0,16.78,0,0
0,650.0,2,24,4,66,1122,1,0,0,7,2,3,24.0,0,17.0,1,0
0,790.0,5,31,4,67,1606,1,0,0,9,3,3,,0,23.97,1,0
0,1100.0,4,28,3,75,1292,0,1,0,5,4,1,,0,17.23,1,0
0,1200.0,3,24,4,81,2370,0,1,0,10,5,3,11.0,0,29.26,1,0
0,1544.0,7,29,4,75,2571,1,0,0,14,5,5,47.0,0,34.28,1,1
0,3170.0,11,31,4,80,3277,0,0,1,27,12,4,1.0,1,40.96,1,0
0,225.0,2,24,4,47,219,0,0,1,2,1,0,,0,4.66,1,0
1,2283.0,8,29,4,78,2209,1,0,0,12,4,4,6.0,0,28.32,1,1
0,2428.0,11,32,4,82,2909,0,1,0,14,11,2,9.0,0,35.48,1,0
0,1050.0,1,23,4,64,759,1,0,0,5,1,1,13.0,0,11.86,1,0
0,150.0,1,24,4,49,923,0,1,0,9,3,1,,0,18.84,1,0
0,1100.0,6,29,4,78,1533,1,0,0,8,2,4,15.0,0,19.65,1,0
0,1694.0,5,28,4,37,1022,1,0,0,10,3,6,10.0,0,27.62,1,0
0,2840.0,3,24,4,14,350,0,0,1,7,7,1,23.0,0,25.0,1,1
0,1023.0,2,24,4,43,623,0,1,0,7,3,1,14.0,0,14.49,1,1
1,569.0,2,25,4,76,1930,0,0,1,9,6,1,25.0,0,25.39,1,0
0,1225.0,4,26,4,75,2118,0,1,0,12,9,1,13.0,0,28.24,1,1
0,650.0,2,24,4,40,352,1,0,0,4,1,2,16.0,0,8.8,1,0
0,150.0,1,25,4,53,535,0,0,1,2,2,0,,0,10.09,0,0
1,3200.0,9,33,4,25,556,0,0,1,9,5,2,2.0,0,22.24,0,0
0,1700.0,4,26,4,76,2253,0,1,0,12,7,1,27.0,0,29.64,1,1
0,1445.0,2,24,4,65,1515,1,0,0,10,4,2,17.0,0,23.31,0,0
1,4133.0,5,26,0,79,2685,0,0,1,14,11,4,26.0,0,33.99,0,0
0,150.0,1,24,4,27,247,0,1,0,3,2,0,,0,9.15,1,1
0,1100.0,1,24,4,71,1762,0,1,0,10,6,1,12.0,0,24.82,1,0
0,910.0,2,25,4,30,923,1,0,0,14,4,3,15.0,0,30.77,1,0
0,800.0,4,26,4,73,1617,1,0,0,9,3,2,51.0,0,22.15,1,0
0,2400.0,11,33,4,81,2278,1,0,0,12,2,4,139.0,0,28.12,1,0
0,150.0,1,23,4,81,2700,1,0,0,14,3,6,37.0,1,33.33,1,0
1,1850.0,12,33,3,80,1597,0,1,0,10,2,2,1.0,0,19.96,1,0
0,2000.0,4,25,4,53,1601,0,1,0,19,7,2,48.0,0,30.21,1,1
0,312.0,4,27,4,37,319,1,0,0,2,2,0,,0,8.62,1,0
0,1002.0,4,26,4,53,697,1,0,0,7,3,1,9.0,0,13.15,1,0
1,150.0,4,26,4,76,1726,1,0,0,8,2,4,40.0,0,22.71,1,0
1,1100.0,7,29,4,75,1880,0,1,0,12,2,2,63.0,0,25.07,0,0
0,250.0,2,25,4,72,1199,0,0,1,7,4,0,42.0,0,16.65,0,0
1,922.0,4,27,4,15,66,0,1,0,2,1,0,12.0,0,4.4,1,0
