personid,age,tenure,grosswage,children,bedroom,commute,men,married,volunteer,high_educ,WFHShare,calls
3224,30.0,113.0,3.8248823,no,no,40.0,1.0,0.0,0.0,0.0,,
3906,33.0,96.0,2.7375467,yes,yes,180.0,0.0,1.0,1.0,0.0,0.0,342.0
4118,31.0,94.0,3.46038,yes,no,180.0,0.0,1.0,0.0,1.0,,
4122,30.0,94.0,4.096246,no,no,180.0,0.0,0.0,0.0,0.0,,
4164,28.0,25.0,7.2532,no,yes,65.0,0.0,1.0,1.0,1.0,0.0,172.0
4252,29.0,94.0,4.0608325,no,no,140.0,0.0,0.0,0.0,1.0,,
4448,35.0,92.0,4.269296,yes,yes,100.0,0.0,1.0,1.0,0.0,0.0,276.0
4942,27.0,82.0,5.2953954,no,yes,160.0,0.0,1.0,1.0,0.0,0.0,247.0
4944,25.0,82.0,4.477011,no,yes,180.0,0.0,0.0,0.0,1.0,,
4992,25.0,82.0,3.8015378,no,yes,240.0,0.0,0.0,1.0,0.0,0.0,193.0
5018,29.0,82.0,1.3875899,yes,yes,240.0,0.0,1.0,1.0,0.0,0.0,171.0
5560,29.0,79.0,4.420188,yes,yes,50.0,1.0,1.0,0.0,1.0,,
5606,26.0,79.0,3.0919712,no,no,120.0,0.0,0.0,0.0,0.0,,
5614,32.0,79.0,3.8260088,no,yes,80.0,1.0,1.0,0.0,0.0,,
5742,26.0,78.0,6.733743,no,yes,60.0,0.0,1.0,0.0,0.0,,
5784,31.0,78.0,2.9404178,no,yes,160.0,0.0,0.0,0.0,1.0,,
5906,23.0,78.0,4.593881,yes,yes,180.0,0.0,1.0,1.0,0.0,0.0,213.0
5930,23.0,78.0,4.410223,no,no,50.0,0.0,0.0,0.0,0.0,,
6162,31.0,77.0,3.8107321,no,yes,120.0,0.0,0.0,0.0,0.0,,
6278,32.0,77.0,2.918789,yes,yes,170.0,0.0,1.0,1.0,1.0,0.0,264.0
6284,23.0,77.0,3.9908912,no,no,60.0,0.0,0.0,1.0,1.0,0.0,340.0
6300,33.0,76.0,3.3604422,no,yes,80.0,1.0,0.0,0.0,1.0,,
6342,30.0,76.0,3.923372,yes,yes,120.0,0.0,1.0,0.0,0.0,,
6344,27.0,76.0,4.516857,yes,yes,120.0,0.0,1.0,0.0,0.0,,
6362,29.0,82.0,4.894708,yes,yes,200.0,0.0,1.0,1.0,0.0,0.0,207.0
6364,26.0,82.0,6.2207456,yes,yes,180.0,0.0,1.0,1.0,0.0,0.0,229.0
6856,31.0,73.0,2.121591,no,yes,180.0,0.0,0.0,0.0,1.0,,
6898,24.0,73.0,4.639574,no,no,120.0,1.0,0.0,0.0,0.0,,
6904,23.0,73.0,3.744671,no,no,45.0,0.0,0.0,0.0,0.0,,
6924,22.0,73.0,4.9445286,no,yes,110.0,0.0,0.0,0.0,0.0,,
7056,27.0,72.0,5.06307,yes,no,80.0,1.0,1.0,1.0,1.0,0.0,397.0
7068,28.0,72.0,4.341824,no,yes,40.0,0.0,1.0,1.0,1.0,0.0,730.0
7076,30.0,72.0,2.66415,yes,yes,120.0,0.0,1.0,1.0,1.0,0.0,237.0
7132,22.0,72.0,3.6314757,no,yes,50.0,0.0,0.0,0.0,0.0,,
7184,27.0,71.0,4.2302675,no,yes,120.0,0.0,1.0,0.0,0.0,,
7240,23.0,71.0,4.35887,no,no,40.0,0.0,0.0,0.0,1.0,,
7324,27.0,71.0,4.6434965,no,no,90.0,1.0,0.0,0.0,0.0,,
7454,24.0,70.0,2.0513732,no,yes,85.0,0.0,1.0,0.0,1.0,,
7456,25.0,70.0,4.9626255,no,no,120.0,0.0,0.0,0.0,0.0,,
7488,25.0,70.0,3.072209,no,yes,240.0,0.0,0.0,0.0,0.0,,
7538,24.0,70.0,3.3498802,no,no,120.0,0.0,0.0,0.0,1.0,,
7660,25.0,70.0,3.49544,no,yes,240.0,0.0,0.0,1.0,0.0,0.0,372.0
7720,25.0,70.0,3.0483878,no,yes,180.0,0.0,0.0,1.0,1.0,0.0,310.0
7820,28.0,70.0,3.5054533,yes,yes,180.0,1.0,1.0,0.0,1.0,,
