obs,carsales,persincome,pricegas,quantgas,transindex
1978:01,10.07,1756,64.8,6681.0,59.6
1978:02,10.45,1756,64.7,6876.0,59.7
1978:03,10.953,1756,64.7,7255.0,59.9
1978:04,11.786,1821,64.9,7202.0,60.3
1978:05,11.804,1821,65.5,7724.0,61.0
1978:06,11.811,1821,66.3,7913.0,61.7
1978:07,11.067,1879,67.4,7576.0,62.3
1978:08,11.654,1879,68.2,7872.0,62.6
1978:09,10.795,1879,68.8,7399.0,62.8
1978:10,11.402,1937,69.0,7448.0,63.1
1978:11,11.1,1937,69.5,7503.0,63.7
1978:12,11.075,1937,70.5,7451.0,64.1
1979:01,10.963,1997,71.6,6830.4,64.5
1979:02,11.27,1997,73.0,7254.4,65.1
1979:03,11.371,1997,75.5,7229.0,65.9
1979:04,10.889,2041,80.2,7055.0,67.5
1979:05,10.798,2041,84.4,7213.4,69.1
1979:06,9.615,2041,90.1,7190.8,70.7
1979:07,10.613,2109,94.9,6901.8,72.1
1979:08,10.806,2109,98.8,7330.3,73.1
1979:09,10.715,2109,102.0,6880.8,73.7
1979:10,9.59,2179,102.8,7020.5,74.1
1979:11,9.722,2179,104.1,6790.9,74.8
1979:12,10.354,2179,106.5,6730.4,75.8
1980:01,11.326,2248,113.1,6323.0,77.7
1980:02,10.477,2248,120.7,6596.0,79.7
1980:03,9.523,2248,125.2,6406.0,81.1
1980:04,8.106,2269,126.4,6800.0,82.1
1980:05,7.35,2269,126.6,6729.0,82.8
1980:06,7.949,2269,126.9,6657.0,83.1
1980:07,8.947,2339,127.1,6743.0,83.5
1980:08,8.659,2339,126.7,6648.0,84.1
1980:09,8.701,2339,125.7,6510.0,84.7
1980:10,9.089,2440,125.0,6662.0,85.2
1980:11,8.907,2440,125.0,6234.0,86.2
1980:12,8.748,2440,125.8,6632.0,86.9
1981:01,9.043,2511,129.8,6431.0,88.1
1981:02,10.032,2511,138.2,6301.0,90.1
1981:03,10.201,2511,141.7,6303.0,91.0
1981:04,8.09,2550,141.2,6602.0,91.6
1981:05,8.07,2550,140.0,6615.0,92.4
1981:06,8.076,2550,139.1,7028.0,93.1
1981:07,8.194,2652,138.2,6823.0,94.0
1981:08,10.058,2652,137.6,6637.0,94.4
1981:09,8.854,2652,137.6,6662.0,94.9
1981:10,7.281,2685,137.1,6578.0,95.6
1981:11,7.345,2685,136.9,6373.0,96.2
1981:12,7.169,2685,136.5,6681.0,96.4
1982:01,7.795,2709,135.8,5961.0,96.5
1982:02,8.316,2709,133.4,6196.0,95.8
1982:03,7.892,2709,128.4,6466.0,94.9
1982:04,7.326,2754,122.5,6897.0,94.1
1982:05,8.41,2754,123.7,6655.0,95.0
1982:06,7.312,2754,130.9,6835.0,97.4
1982:07,7.379,2786,133.1,6790.0,98.5
1982:08,7.539,2786,132.3,6614.0,98.6
1982:09,8.448,2786,130.8,6531.0,98.3
1982:10,7.709,2824,129.5,6391.0,98.3
1982:11,8.996,2824,128.3,6574.0,98.4
1982:12,8.632,2824,126.0,6549.0,98.1
1983:01,8.264,2854,122.8,6051.0,97.5
1983:02,8.176,2854,118.7,6000.0,96.5
1983:03,8.292,2854,115.1,6836.0,95.6
1983:04,8.723,2909,121.5,6452.0,97.3
1983:05,9.062,2909,125.9,6617.0,98.6
1983:06,9.796,2909,127.7,6994.0,99.3
1983:07,9.67,2969,128.8,6765.0,100.0
1983:08,9.039,2969,128.5,6936.0,100.6
1983:09,9.0,2969,127.4,6727.0,101.0
1983:10,9.911,3056,125.5,6588.0,101.5
1983:11,9.609,3056,124.1,6603.0,101.9
1983:12,10.603,3056,123.1,6846.0,101.9
1984:01,10.431,3152,121.6,6265.0,101.8
1984:02,10.569,3152,120.9,6231.0,101.7
1984:03,10.236,3152,121.0,6528.0,102.1
1984:04,10.266,3240,122.7,6676.0,103.0
1984:05,10.702,3240,123.6,6890.0,103.9
1984:06,10.533,3240,122.9,7107.0,104.2
1984:07,10.533,3328,121.2,6830.0,104.1
1984:08,10.231,3328,119.6,7093.0,104.1
1984:09,10.028,3328,120.3,6588.0,104.4
1984:10,10.189,3380,120.9,6729.0,105.0
1984:11,10.319,3380,120.7,6800.0,105.2
1984:12,10.645,3380,119.3,6555.0,105.1
1985:01,10.758,3447,114.8,6348.0,104.7
1985:02,10.839,3447,113.1,6587.0,104.6
1985:03,10.745,3447,115.9,6664.0,105.4
1985:04,10.942,3489,120.5,6956.0,106.5
1985:05,11.079,3489,123.1,7060.0,106.9
1985:06,10.428,3489,124.1,6997.0,107.1
1985:07,10.371,3528,124.2,7008.0,107.1
1985:08,12.24,3528,122.9,7242.0,106.7
1985:09,14.148,3528,121.6,6629.0,106.4
1985:10,9.48,3595,120.4,6897.0,106.8
1985:11,9.828,3595,120.7,6770.0,107.5
1985:12,10.88,3595,120.8,6792.0,107.8
1986:01,11.463,3651,119.4,6502.0,107.8
1986:02,10.798,3651,112.0,6469.0,106.2
1986:03,9.878,3651,98.1,6955.0,103.0
1986:04,11.002,3688,88.8,7105.0,100.9
1986:05,11.323,3688,92.3,7106.0,101.7
1986:06,11.169,3688,95.5,7209.0,102.7
1986:07,10.834,3736,89.0,7436.0,101.4
1986:08,12.041,3736,84.3,7435.0,100.3
1986:09,15.051,3736,86.0,6864.0,100.5
1986:10,10.258,3775,83.1,7250.0,100.7
1986:11,10.274,3775,82.1,6879.0,101.2
1986:12,12.777,3775,82.3,7143.0,101.4
1987:01,8.37,3852,86.2,6535.0,102.6
1987:02,10.204,3852,90.5,6796.0,103.1
1987:03,10.339,3852,91.2,6964.0,103.3
1987:04,10.365,3915,93.4,7314.0,104.2
1987:05,9.663,3915,94.1,7460.0,104.7
1987:06,10.27,3915,95.8,7539.0,105.4
1987:07,10.52,3992,97.1,7581.0,106.0
1987:08,11.762,3992,99.5,7338.0,106.5
1987:09,11.128,3992,99.0,7205.0,106.6
1987:10,9.236,4090,97.6,7305.0,107.1
1987:11,9.549,4090,97.6,7151.0,107.8
1987:12,10.642,4090,96.1,7251.0,107.6
1988:01,10.902,4157,93.3,6693.0,107.1
1988:02,11.144,4157,91.3,7039.0,106.8
1988:03,10.825,4157,90.4,7323.0,106.5
1988:04,10.401,4228,93.0,7430.0,107.2
1988:05,10.549,4228,95.5,7303.0,108.1
1988:06,10.77,4228,95.5,7817.0,108.5
1988:07,10.362,4309,96.7,7482.0,108.9
1988:08,10.289,4309,98.7,7556.0,109.6
1988:09,9.96,4309,97.4,7404.0,109.7
1988:10,9.888,4395,95.6,7271.0,110.0
1988:11,10.158,4395,94.9,7379.0,110.7
1988:12,11.298,4395,93.0,7344.0,110.8
1989:01,10.087,4518,91.8,6745.0,111.1
1989:02,9.844,4518,92.6,7119.0,111.6
1989:03,9.694,4518,94.0,7421.0,111.9
1989:04,10.727,4574,106.5,7157.0,114.6
1989:05,10.267,4574,119.0,7381.0,116.0
1989:06,9.516,4574,114.0,7780.0,115.9
1989:07,9.734,4617,109.2,7296.0,115.4
1989:08,11.087,4617,105.7,7717.0,114.3
1989:09,10.345,4617,102.9,7240.0,113.7
1989:10,8.766,4691,102.7,7302.0,114.5
1989:11,8.536,4691,99.9,7353.0,115.0
1989:12,8.719,4691,96.1,7410.0,115.2
1990:01,10.42,4801,104.2,6643.0,117.2
1990:02,9.479,4801,103.7,7179.0,117.1
1990:03,9.513,4801,102.3,7338.0,116.8
1990:04,9.405,4879,104.4,7121.0,117.3
1990:05,9.129,4879,106.1,7358.0,117.7
1990:06,9.225,4879,108.8,7519.0,118.2
1990:07,9.143,4951,108.4,7496.0,118.4
1990:08,9.192,4951,119.0,7796.0,120.6
1990:09,9.659,4951,129.4,6914.0,123.0
1990:10,9.155,4981,137.8,7226.0,125.8
1990:11,8.601,4981,137.7,7241.0,126.9
1990:12,8.681,4981,135.4,6978.0,127.2
1991:01,7.751,5000,124.7,6645.0,125.5
1991:02,8.181,5000,114.3,6838.0,123.7
1991:03,8.555,5000,108.2,7017.0,122.3
1991:04,7.867,5064,110.4,7137.0,122.2
1991:05,8.191,5064,115.6,7437.0,123.3
1991:06,8.321,5064,116.0,7456.0,123.7
1991:07,8.553,5110,112.7,7561.0,123.4
